state_name,ic_2020w12_total
Alabama,80186
Alaska,14523
Arizona,89064
Arkansas,26944
California,878727
Colorado,60784
Connecticut,33182
Delaware,18987
District of Columbia,14868
Florida,227000
Georgia,132386
Hawaii,48861
Idaho,32240
Illinois,178133
Indiana,146243
Iowa,58453
Kansas,54739
Kentucky,112726
Louisiana,97830
Maine,23535
Maryland,83536
Massachusetts,181062
Michigan,311086
Minnesota,109896
Mississippi,30946
Missouri,96734
Montana,19540
Nebraska,24572
Nevada,71419
New Hampshire,27454
New Jersey,205515
New Mexico,28182
New York,366403
North Carolina,170881
North Dakota,12591
Ohio,272129
Oklahoma,44970
Oregon,42502
Pennsylvania,405880
Puerto Rico,45218
Rhode Island,28067
South Carolina,64856
South Dakota,6645
Tennessee,94492
Texas,275597
Utah,28560
Vermont,14443
U.S. Virgin Islands,160
Virginia,114104
Washington,187501
West Virginia,14166
Wisconsin,110724
Wyoming,4675
